Node_ID,Lon,Lat,Tract_Node
0,-122.3226326,47.6385371,0
1,-122.3186189,47.6426471,0
2,-122.3224728,47.6447309,0
3,-122.303892,47.6440305,0
4,-122.2993857,47.6450537,0
5,-122.2997615,47.6605791,0
6,-122.300048,47.6603965,0
7,-122.3285393,47.7031773,0
8,-122.3285666,47.7040348,0
9,-122.3554102,47.702178,0
10,-122.3554185,47.7029036,0
11,-122.3554297,47.7017268,0
12,-122.3290159,47.7030162,0
13,-122.3447425,47.702146,0
14,-122.344728,47.7014301,0
15,-122.3284843,47.7013679,0
16,-122.3574366,47.6759861,0
17,-122.3564231,47.6759827,0
18,-122.3584626,47.6759844,0
19,-122.3594693,47.6759824,0
20,-122.3607115,47.6759885,0
21,-122.361502,47.6759881,0
22,-122.3605407,47.6762763,0
23,-122.3605038,47.6759878,0
24,-122.3607743,47.6741926,0
25,-122.361871,47.675983,0
26,-122.3625197,47.675985,0
27,-122.3635228,47.6759825,0
28,-122.3639991,47.6759803,0
29,-122.3629363,47.6759842,0
30,-122.3645113,47.6759842,0
31,-122.3650483,47.6759788,0
32,-122.365533,47.6759792,0
33,-122.3660285,47.6759818,0
34,-122.365989,47.6777701,0
35,-122.3660513,47.6752594,0
36,-122.3665545,47.6759836,0
37,-122.3676263,47.6759883,0
38,-122.368716,47.6759932,0
39,-122.3697792,47.6759928,0
40,-122.3708549,47.6759932,0
41,-122.3713938,47.6759907,0
42,-122.3719531,47.6759935,0
43,-122.3735312,47.6759997,0
44,-122.376521,47.6760088,0
45,-122.376755,47.6765103,0
46,-122.3768925,47.6760091,0
47,-122.37613,47.6760086,0
48,-122.3762138,47.6753798,0
49,-122.3778236,47.6760051,0
50,-122.3788982,47.6760033,0
51,-122.37997,47.6759964,0
52,-122.3810172,47.6759921,0
53,-122.3821347,47.6759876,0
54,-122.3821331,47.675273,0
55,-122.3832228,47.6759849,0
56,-122.3842886,47.6759751,0
57,-122.3009897,47.6593986,0
58,-122.3011591,47.6591658,0
59,-122.3853698,47.6759636,0
60,-122.3864263,47.675957,0
61,-122.3847419,47.67597,0
62,-122.387563,47.6759478,0
63,-122.3875361,47.6776817,0
64,-122.3876016,47.6752817,0
65,-122.3886401,47.6759434,0
66,-122.3896969,47.6759391,0
67,-122.3901147,47.6759375,0
68,-122.390767,47.6759303,0
69,-122.3918401,47.6759187,0
70,-122.3929888,47.6759022,0
71,-122.3956941,47.6758792,0
72,-122.3983952,47.6758297,0
73,-122.4010511,47.6757991,0
74,-122.3983857,47.676574,0
75,-122.3983867,47.6751581,0
76,-122.4034985,47.6758214,0
