Node_ID,Lon,Lat,Tract_Node
0,-122.3909449,37.7859206,0
1,-122.367171,37.8081072,0
2,-122.4241236,37.7313533,0
3,-122.4203647,37.7316169,0
4,-122.4420423,37.731626,0
5,-122.4454242,37.7316082,0
6,-122.4465981,37.7316038,0
7,-122.4473082,37.7316012,0
8,-122.448882,37.7316047,0
9,-122.4488873,37.7323306,0
10,-122.4511652,37.7315868,0
11,-122.455789,37.7314024,0
12,-122.4566307,37.7312351,0
13,-122.4574959,37.7310359,0
14,-122.457509,37.7309578,0
15,-122.45773,37.7321777,0
16,-122.4584033,37.7308697,0
17,-122.4615708,37.7300711,0
18,-122.4617288,37.7300666,0
19,-122.4617238,37.73021,0
20,-122.4369321,37.7316363,0
21,-122.4374725,37.7316378,0
22,-122.4589901,37.7308599,0
23,-122.46058,37.730462,0
24,-122.4620106,37.730104,0
25,-122.4640869,37.7320814,0
26,-122.464675,37.732523,0
27,-122.4656124,37.7332011,0
28,-122.4464358,37.7853723,0
29,-122.4468749,37.7852722,0
30,-122.4450323,37.7855579,0
31,-122.4466284,37.7863015,0
32,-122.4463795,37.7850871,0
33,-122.447628,37.7850954,0
34,-122.4480059,37.7850101,0
35,-122.4472443,37.7851849,0
36,-122.4475749,37.7848442,0
37,-122.4492965,37.7846918,0
38,-122.4501543,37.784488,0
39,-122.4510285,37.7842783,0
40,-122.4518836,37.7841244,0
41,-122.4527651,37.7840672,0
42,-122.4536526,37.7840581,0
43,-122.4544519,37.7840406,0
44,-122.455731,37.7839781,0
45,-122.4568302,37.7839282,0
46,-122.4548128,37.7840242,0
47,-122.4579396,37.7838792,0
48,-122.4590755,37.7838258,0
49,-122.4590323,37.7831973,0
50,-122.4591632,37.7850618,0
51,-122.3878962,37.7847318,0
52,-122.3881985,37.7847486,0
53,-122.3877083,37.7870796,0
54,-122.3898528,37.7836132,0
55,-122.391314,37.7824712,0
56,-122.3920889,37.7818617,0
57,-122.393203,37.7809795,0
58,-122.3928758,37.7824725,0
59,-122.3905436,37.7806182,0
60,-122.3943175,37.780095,0
61,-122.3966077,37.7782877,0
62,-122.3958241,37.7776755,0
63,-122.3964873,37.7783876,0
64,-122.3987844,37.7765792,0
65,-122.401003,37.7748197,0
66,-122.400319,37.7778095,0
67,-122.3980041,37.7759674,0
68,-122.4015543,37.7743826,0
69,-122.4020702,37.7739773,0
70,-122.4021196,37.7739381,0
71,-122.4022825,37.7738068,0
72,-122.4026906,37.773488,0
73,-122.4069977,37.77007,0
74,-122.4062261,37.7694529,0
75,-122.408536,37.7713009,0
76,-122.4076423,37.7695306,0
77,-122.405446,37.7713034,0
78,-122.4079015,37.7692412,0
79,-122.406272,37.7109854,0
80,-122.4061429,37.7109479,0
81,-122.407034,37.7111983,0
82,-122.405248,37.7107006,0
83,-122.4220735,37.7973742,0
84,-122.4221665,37.7978339,0
85,-122.4219781,37.7969024,0
86,-122.4594759,37.7980032,0
87,-122.4589016,37.7991122,0
88,-122.4596012,37.7977102,0
89,-122.4591979,37.797876,0
90,-122.459778,37.7962429,0
91,-122.4586866,37.7900805,0
92,-122.4594774,37.7893078,0
93,-122.4613531,37.7930751,0
94,-122.4594121,37.7883847,0
95,-122.4593448,37.7875265,0
96,-122.4592978,37.7869244,0
97,-122.4592114,37.7856859,0
98,-122.4588991,37.781335,0
99,-122.4586601,37.7780104,0
100,-122.4586263,37.7775441,0
101,-122.4587569,37.7793568,0
102,-122.458608,37.777287,0
103,-122.45688,37.7773973,0
104,-122.4591843,37.7774567,0
105,-122.4585291,37.7761896,0
106,-122.458488,37.775617,0
