O_ID,D_ID,OD_Number
10000002,10000012,1
10000002,10000013,1
10000002,10000017,1
10000002,10000020,5
10000002,10000023,1
10000002,10000024,2
10000002,10000026,1
10000002,10000029,1
10000002,10000030,4
10000002,10000031,1
10000002,10000032,1
10000002,10000033,5
10000002,10000034,6
10000002,10000039,2
10000002,10000042,1
10000002,10000044,1
10000002,10000048,4
10000002,10000050,3
10000002,10000052,1
10000002,10000054,1
10000002,10000063,1
10000002,10000072,3
10000002,10000073,4
10000002,10000076,4
10000002,10000077,4
10000002,10000078,2
10000002,10000079,41
10000002,10000081,2
10000002,10000086,3
10000002,10000087,1
10000002,10000089,1
10000002,10000091,1
10000002,10000092,2
10000002,10000093,3
10000002,10000095,4
10000002,10000096,13
10000002,10000100,1
10000002,10000101,4
10000002,10000108,1
10000002,10000111,4
10000002,10000114,3
10000002,10000115,1
10000002,10000119,1
10000002,10000123,1
10000002,10000126,1
10000002,10000129,4
10000002,10000130,3
10000002,10000131,3
10000002,10000134,1
10000002,10000138,1
10000002,10000139,9
10000002,10000140,31
10000002,10000141,5
10000002,10000143,11
10000002,10000144,98
10000002,10000145,3
10000002,10000147,5
10000002,10000148,1
10000002,10000149,1
10000002,10000151,33
10000002,10000152,3
10000002,10000153,1
10000002,10000154,37
10000002,10000155,6
10000002,10000157,3
10000002,10000158,8
10000002,10000160,1
10000002,10000161,15
10000002,10000162,5
10000002,10000164,6
10000002,10000166,1
10000002,10000167,2
10000002,10000169,6
10000002,10000171,2
10000002,10000172,1
10000002,10000174,2
10000002,10000176,1
10000002,10000177,1
10000002,10000178,1
10000002,10000179,4
10000002,10000181,6
10000002,10000182,3
10000002,10000185,1
10000002,10000187,3
10000002,10000188,1
10000002,10000189,2
10000002,10000192,1
10000002,10000193,2
10000003,10000000,1
10000003,10000003,40
10000003,10000004,1
10000003,10000006,2
10000003,10000007,1
10000003,10000008,15
10000003,10000010,1
10000003,10000011,28
10000003,10000013,5
10000003,10000014,10
10000003,10000016,2
10000003,10000017,2
10000003,10000018,5
10000003,10000020,7
10000003,10000021,2
10000003,10000022,6
10000003,10000023,6
10000003,10000024,5
10000003,10000026,17
10000003,10000027,1
10000003,10000028,7
10000003,10000030,3
10000003,10000031,8
10000003,10000032,1
10000003,10000033,15
10000003,10000034,5
10000003,10000036,1
10000003,10000037,1
10000003,10000039,1
10000003,10000041,6
10000003,10000042,5
10000003,10000043,3
10000003,10000046,3
10000003,10000048,17
10000003,10000049,4
10000003,10000050,11
10000003,10000051,2
10000003,10000052,5
10000003,10000053,3
10000003,10000054,6
10000003,10000057,2
10000003,10000058,2
10000003,10000059,5
10000003,10000060,3
10000003,10000062,3
10000003,10000064,2
10000003,10000065,1
10000003,10000066,3
10000003,10000070,1
10000003,10000071,4
10000003,10000072,2
10000003,10000073,2
10000003,10000075,6
10000003,10000076,5
10000003,10000077,12
10000003,10000078,3
10000003,10000079,127
10000003,10000080,6
10000003,10000081,13
10000003,10000082,3
10000003,10000086,1
10000003,10000087,1
10000003,10000088,3
10000003,10000090,1
10000003,10000091,4
10000003,10000092,4
10000003,10000093,8
10000003,10000095,2
10000003,10000096,9
10000003,10000097,3
10000003,10000098,2
10000003,10000100,4
10000003,10000101,8
10000003,10000103,2
10000003,10000104,2
10000003,10000105,1
10000003,10000108,1
10000003,10000109,3
10000003,10000110,10
10000003,10000111,1
