link_id,matrix_ab,matrix_ba,matrix_tot,Congested_Time_AB,Congested_Time_BA,Congested_Time_Max,Delay_factor_AB,Delay_factor_BA,Delay_factor_Max,VOC_AB,VOC_BA,VOC_max,PCE_AB,PCE_BA,PCE_tot
1,1919.1826701366185,,1919.1826701366185,0.7114767379133264,,0.7114767379133264,2.545667529053378,,2.545667529053378,1.370844764383299,,1.370844764383299,1919.1826701366185,,1919.1826701366185
2,2025.6925000157096,,2025.6925000157096,0.787465464621213,,0.787465464621213,2.817555594883499,,2.817555594883499,1.4469232142969355,,1.4469232142969355,2025.6925000157096,,2025.6925000157096
3,1.5207782951375114e-05,,1.5207782951375114e-05,0.8063826666666666,,0.8063826666666666,1.0,,1.0,1.0862702108125081e-08,,1.0862702108125081e-08,1.5207782951375114e-05,,1.5207782951375114e-05
4,0.0,,0.0,0.8063826666666666,,0.8063826666666666,1.0,,1.0,0.0,,0.0,0.0,,0.0
5,3219.079001673644,,3219.079001673644,2.172956381124366,,2.172956381124366,8.293937687184275,,8.293937687184275,2.299342144052603,,2.299342144052603,3219.079001673644,,3219.079001673644
6,3083.8486117054267,,3083.8486117054267,1.9420987578648374,,1.9420987578648374,7.412779299211827,,7.412779299211827,2.2027490083610193,,2.2027490083610193,3083.8486117054267,,3083.8486117054267
7,48.78352126815409,,48.78352126815409,0.2678948004842428,,0.2678948004842428,1.0000253855500911,,1.0000253855500911,0.03484537233439578,,0.03484537233439578,48.78352126815409,,48.78352126815409
8,304.2177297261763,,304.2177297261763,0.2695372024309861,,0.2695372024309861,1.006156313201734,,1.006156313201734,0.2172983783758402,,0.2172983783758402,304.2177297261763,,304.2177297261763
9,1276.2037100132886,,1276.2037100132886,0.17638151184606396,,0.17638151184606396,1.4544929509021218,,1.4544929509021218,0.9115740785809204,,0.9115740785809204,1276.2037100132886,,1276.2037100132886
10,1644.490205773473,,1644.490205773473,0.23919073591916468,,0.23919073591916468,1.9724359751442937,,1.9724359751442937,1.1746358612667664,,1.1746358612667664,1644.490205773473,,1644.490205773473
11,103.0927952450436,,103.0927952450436,0.4406463724395136,,0.4406463724395136,1.0000102720286486,,1.0000102720286486,0.0257731988112609,,0.0257731988112609,103.0927952450436,,103.0927952450436
12,1083.8015730205498,,1083.8015730205498,0.44590088459799426,,0.44590088459799426,1.0119349500962103,,1.0119349500962103,0.2709503932551374,,0.2709503932551374,1083.8015730205498,,1083.8015730205498
13,0.0,,0.0,0.44273066666666666,,0.44273066666666666,1.0,,1.0,0.0,,0.0,0.0,,0.0
14,0.0,,0.0,0.44273066666666666,,0.44273066666666666,1.0,,1.0,0.0,,0.0,0.0,,0.0
15,0.000167108252391682,,0.000167108252391682,0.13402533333333333,,0.13402533333333333,1.0,,1.0,1.1936303742263e-07,,1.1936303742263e-07,0.000167108252391682,,0.000167108252391682
16,1072.3859191042905,,1072.3859191042905,0.17016693108558614,,0.17016693108558614,1.2696624351037078,,1.2696624351037078,0.7659899422173503,,0.7659899422173503,1072.3859191042905,,1072.3859191042905
17,0.0,,0.0,0.27069733333333335,,0.27069733333333335,1.0,,1.0,0.0,,0.0,0.0,,0.0
18,2.621927125137843e-07,,2.621927125137843e-07,0.27069733333333335,,0.27069733333333335,1.0,,1.0,1.8728050893841734e-10,,1.8728050893841734e-10,2.621927125137843e-07,,2.621927125137843e-07
19,313.95753591031206,,313.95753591031206,0.19318980970621485,,0.19318980970621485,1.0000645850766559,,1.0000645850766559,0.04756932362277456,,0.04756932362277456,313.95753591031206,,313.95753591031206
20,8.712850302419965e-09,,8.712850302419965e-09,0.13751933333333333,,0.13751933333333333,1.0,,1.0,1.3201288336999948e-12,,1.3201288336999948e-12,8.712850302419965e-09,,8.712850302419965e-09
21,1812.6199782631143,,1812.6199782631143,0.042092653630742334,,0.042092653630742334,1.0558330770945734,,1.0558330770945734,0.45315499456577857,,0.45315499456577857,1812.6199782631143,,1812.6199782631143
22,4438.407512507047,,4438.407512507047,0.06597433717893669,,0.06597433717893669,1.8196959699191575,,1.8196959699191575,1.1096018781267616,,1.1096018781267616,4438.407512507047,,4438.407512507047
23,241.12684781189523,,241.12684781189523,0.03119394556251601,,0.03119394556251601,1.000131434077925,,1.000131434077925,0.060281711952973806,,0.060281711952973806,241.12684781189523,,241.12684781189523
24,3.6123474286602926e-08,,3.6123474286602926e-08,0.027132,,0.027132,1.0,,1.0,9.030868571650731e-12,,9.030868571650731e-12,3.6123474286602926e-08,,3.6123474286602926e-08
25,638.8706602386252,,638.8706602386252,0.5978525075119066,,0.5978525075119066,1.000544199671602,,1.000544199671602,0.09679858488464017,,0.09679858488464017,638.8706602386252,,638.8706602386252
26,0.02241463716040813,,0.02241463716040813,0.33934333333333333,,0.33934333333333333,1.0,,1.0,3.396157145516383e-06,,3.396157145516383e-06,0.02241463716040813,,0.02241463716040813
27,0.0,,0.0,0.10515999999999999,,0.10515999999999999,1.0,,1.0,0.0,,0.0,0.0,,0.0
28,6.650365024714324e-08,,6.650365024714324e-08,0.7148113333333334,,0.7148113333333334,1.0,,1.0,1.007631064350655e-11,,1.007631064350655e-11,6.650365024714324e-08,,6.650365024714324e-08
29,2717.759084943611,,2717.759084943611,0.04248321144665756,,0.04248321144665756,1.1881932944496398,,1.1881932944496398,0.6794397712359027,,0.6794397712359027,2717.759084943611,,2717.759084943611
30,118.65749734154397,,118.65749734154397,0.035755021537228766,,0.035755021537228766,1.0000156623465473,,1.0000156623465473,0.029664374335385994,,0.029664374335385994,118.65749734154397,,118.65749734154397
