link_id,matrix_ab,matrix_ba,matrix_tot,Congested_Time_AB,Congested_Time_BA,Congested_Time_Max,Delay_factor_AB,Delay_factor_BA,Delay_factor_Max,VOC_AB,VOC_BA,VOC_max,PCE_AB,PCE_BA,PCE_tot
2189,0.0,,0.0,8.310204,,8.310204,1.0,,1.0,0.0,,0.0,0.0,,0.0
2190,0.0,,0.0,8.310204,,8.310204,1.0,,1.0,0.0,,0.0,0.0,,0.0
2191,0.0,,0.0,5.086536,,5.086536,1.0,,1.0,0.0,,0.0,0.0,,0.0
2192,0.0,,0.0,5.086536,,5.086536,1.0,,1.0,0.0,,0.0,0.0,,0.0
2193,0.0,,0.0,11.117592,,11.117592,1.0,,1.0,0.0,,0.0,0.0,,0.0
2194,0.0,,0.0,11.117592,,11.117592,1.0,,1.0,0.0,,0.0,0.0,,0.0
2195,0.0,,0.0,5.21202,,5.21202,1.0,,1.0,0.0,,0.0,0.0,,0.0
2196,0.0,,0.0,5.21202,,5.21202,1.0,,1.0,0.0,,0.0,0.0,,0.0
2197,0.0,,0.0,5.385047999999999,,5.385047999999999,1.0,,1.0,0.0,,0.0,0.0,,0.0
2198,0.0,,0.0,5.385047999999999,,5.385047999999999,1.0,,1.0,0.0,,0.0,0.0,,0.0
2199,0.0,,0.0,5.77866,,5.77866,1.0,,1.0,0.0,,0.0,0.0,,0.0
2200,0.0,,0.0,5.77866,,5.77866,1.0,,1.0,0.0,,0.0,0.0,,0.0
2201,0.0,,0.0,9.312527999999999,,9.312527999999999,1.0,,1.0,0.0,,0.0,0.0,,0.0
2202,0.0,,0.0,9.312527999999999,,9.312527999999999,1.0,,1.0,0.0,,0.0,0.0,,0.0
2203,0.0,,0.0,10.428996000000001,,10.428996000000001,1.0,,1.0,0.0,,0.0,0.0,,0.0
2204,0.0,,0.0,10.428996000000001,,10.428996000000001,1.0,,1.0,0.0,,0.0,0.0,,0.0
2205,0.0,,0.0,11.237676,,11.237676,1.0,,1.0,0.0,,0.0,0.0,,0.0
2206,0.0,,0.0,11.237676,,11.237676,1.0,,1.0,0.0,,0.0,0.0,,0.0
2207,0.022046565021904628,,0.022046565021904628,0.11640750013180569,,0.11640750013180569,1.0000000011322785,,1.0000000011322785,1.574754644421759e-05,,1.574754644421759e-05,0.022046565021904628,,0.022046565021904628
2208,481.3624964788365,,481.3624964788365,0.12492614566354852,,0.12492614566354852,1.0731795259201387,,1.0731795259201387,0.34383035462774036,,0.34383035462774036,481.3624964788365,,481.3624964788365
2209,1051.6680181667905,,1051.6680181667905,0.1843582046890472,,0.1843582046890472,1.298759098757285,,1.298759098757285,0.7511914415477075,,0.7511914415477075,1051.6680181667905,,1051.6680181667905
2210,3.1077523368529083,,3.1077523368529083,0.14195068707164207,,0.14195068707164207,1.0000083626334866,,1.0000083626334866,0.0022198230977520774,,0.0022198230977520774,3.1077523368529083,,3.1077523368529083
2211,377.42687643033685,,377.42687643033685,0.07646693337978572,,0.07646693337978572,1.0071377461940825,,1.0071377461940825,0.09435671910758421,,0.09435671910758421,377.42687643033685,,377.42687643033685
2212,3921.979565191785,,3921.979565191785,0.11531378761602631,,0.11531378761602631,1.4825825430518047,,1.4825825430518047,0.9804948912979462,,0.9804948912979462,3921.979565191785,,3921.979565191785
2213,0.0,,0.0,9.134063999999999,,9.134063999999999,1.0,,1.0,0.0,,0.0,0.0,,0.0
2214,0.0,,0.0,9.134063999999999,,9.134063999999999,1.0,,1.0,0.0,,0.0,0.0,,0.0
2215,0.0,,0.0,7.044516,,7.044516,1.0,,1.0,0.0,,0.0,0.0,,0.0
2216,0.0,,0.0,7.044516,,7.044516,1.0,,1.0,0.0,,0.0,0.0,,0.0
2217,0.0,,0.0,8.179452000000001,,8.179452000000001,1.0,,1.0,0.0,,0.0,0.0,,0.0
2218,0.0,,0.0,8.179452000000001,,8.179452000000001,1.0,,1.0,0.0,,0.0,0.0,,0.0
2219,0.0,,0.0,5.911788,,5.911788,1.0,,1.0,0.0,,0.0,0.0,,0.0
2220,0.0,,0.0,5.911788,,5.911788,1.0,,1.0,0.0,,0.0,0.0,,0.0
2221,0.0,,0.0,4.777296,,4.777296,1.0,,1.0,0.0,,0.0,0.0,,0.0
2222,0.0,,0.0,4.777296,,4.777296,1.0,,1.0,0.0,,0.0,0.0,,0.0
2223,0.0,,0.0,8.36748,,8.36748,1.0,,1.0,0.0,,0.0,0.0,,0.0
2224,0.0,,0.0,8.36748,,8.36748,1.0,,1.0,0.0,,0.0,0.0,,0.0
2225,377.42687643033685,,377.42687643033685,0.07975926667209417,,0.07975926667209417,1.0071377461940825,,1.0071377461940825,0.09435671910758421,,0.09435671910758421,377.42687643033685,,377.42687643033685
2226,3921.979565191785,,3921.979565191785,0.1150528530884492,,0.1150528530884492,1.4825825430518047,,1.4825825430518047,0.9804948912979462,,0.9804948912979462,3921.979565191785,,3921.979565191785
2227,3921.979565191785,,3921.979565191785,0.04280660576553476,,0.04280660576553476,1.4825825430518047,,1.4825825430518047,0.9804948912979462,,0.9804948912979462,3921.979565191785,,3921.979565191785
2228,377.42687643033685,,377.42687643033685,0.07958201042876402,,0.07958201042876402,1.0071377461940825,,1.0071377461940825,0.09435671910758421,,0.09435671910758421,377.42687643033685,,377.42687643033685
2229,3921.979565191785,,3921.979565191785,0.05340262320072601,,0.05340262320072601,1.4825825430518047,,1.4825825430518047,0.9804948912979462,,0.9804948912979462,3921.979565191785,,3921.979565191785
2230,377.42687643033685,,377.42687643033685,0.012890356013538062,,0.012890356013538062,1.0071377461940825,,1.0071377461940825,0.09435671910758421,,0.09435671910758421,377.42687643033685,,377.42687643033685
2231,3921.979565191785,,3921.979565191785,0.019106041232308607,,0.019106041232308607,1.4825825430518047,,1.4825825430518047,0.9804948912979462,,0.9804948912979462,3921.979565191785,,3921.979565191785
2232,3921.979565191785,,3921.979565191785,0.11348724592298651,,0.11348724592298651,1.4825825430518047,,1.4825825430518047,0.9804948912979462,,0.9804948912979462,3921.979565191785,,3921.979565191785
2233,3921.979565191785,,3921.979565191785,0.11674892751770047,,0.11674892751770047,1.4825825430518047,,1.4825825430518047,0.9804948912979462,,0.9804948912979462,3921.979565191785,,3921.979565191785
